hal_title,year,hal_id,booktitle,core_title,Acronym,Source,Rank,Primary FoR,distance,method
Integrated Production Scheduling and Vehicle Routing for Home Chemotherapy Planning,2020,hal-03145317,ORBEL34,PACES & ICIL,PI,CORE2018,C,,9,score
Asynchronous Pipeline for Processing Huge Corpora on Medium to Low Resource Infrastructures,2019,hal-02148693,7th Workshop on the Challenges in the Management of Large Corpora (CMLC-7),"Workshop on Logic, Language, Information and Computation",WoLLIC,CORE2021,B,4613,44,score
Asynchronous Pipeline for Processing Huge Corpora on Medium to Low Resource Infrastructures,2019,hal-02148693,7th Workshop on the Challenges in the Management of Large Corpora (CMLC-7),Workshop on Uncertainty in Geometric Computations,GEOM Uncertainty,CORE2018,C, 802,44,score
On the Regression and Assimilation for Air Quality Mapping Using Dense Low-Cost WSN,2020,hal-03084455,AINA2020 - 34th International Conference on Advanced Information Networking and Applications,International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,CORE2021,B,4606,25,score
The TOP-Slider for Multi-criteria Decision Making by Non-Specialists,2018,hal-03223755,Proceedings of the 10th Nordic Conference on Human-Computer Interaction (NordiCHI '18),Nordic Conference on Human-Computer Interaction,NordiCHI,CORE2021,RegionalScandinavia,4608,39,score
Translation validation of a pattern-matching compiler,2020,hal-03145030,ML Family Workshop,Haskell Workshop,HASKELL,CORE2021,C,4612,8,score
Heuristic for Edge-enabled Network Slicing Optimization using the ''Power of Two Choices'',2020,hal-02981120,CNSM 2020 - 16th International Conference on Network and Service Management,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,CORE2021,B,4606,,token
Microdown: a clean and extensible markup language to support Pharo documentation,2020,hal-03137098,International Workshop of Smalltalk Technologies,International Workshop on C# and .NET Technologies,C,CORE2018,C, 803,9,score
Microdown: a clean and extensible markup language to support Pharo documentation,2020,hal-03137098,International Workshop of Smalltalk Technologies,International Workshop on Parsing Technologies,IWPT,CORE2018,B, 803,9,score
JTeC: A Large Collection of Java Test Classes for Test Code Analysis and Processing,2020,hal-03007190,MSR 2020 - 17th International Conference on Mining Software Repositories,IEEE International Working Conference on Mining Software Repositories,MSR,CORE2021,A,4612,,token
High performance tensor-vector multiplication on shared-memory systems,2019,hal-02332496,PPAM 2019 - 13th International Conference on Parallel Processing and Applied Mathematics,International Conference on Parallel Processing and Applied Mathematics,PPAM,CORE2021,National Poland,4606,,token
Provably and Practically Efficient Granularity Control,2019,hal-01973285,PPoPP 2019 - Principles and Practice of Parallel Programming,Principles and Practice of Parallel Programming,PPoPP,CORE2021,A,4606,,token
A workflow scheduling deadline-based heuristic for energy optimization in Cloud,2019,hal-02165835,GreenCom 2019 : 15th IEEE International Conference on Green Computing and Communications,IEEE International Conference on Pervasive Computing and Communications,PERCOM,CORE2021,A,4608,28,score
How An Automated Gesture Imitation Game Can Improve Social Interactions With Teenagers With ASD,2020,hal-02894330,IEEE ICRA Workshop on Social Robotics for Neurodevelopmental Disorders,IEEE International Conference on Robotics and Automation,ICRA,CORE2021,B needs review,4602,,token
Your Age Revealed by Facebook Picture Metadata,2020,hal-02985551,BBIGAP 2020 - Second Workshop of BI and Big Data Applications,International Workshop on Soft Computing Applications,SOFA,CORE2021,National Romania,4601,33,score
PBS-Calculus: A Graphical Language for Coherent Control of Quantum Computations,2020,hal-02929291,45th International Symposium on Mathematical Foundations of Computer Science (MFCS 2020),International Symposium on Mathematical Foundations of Computer Science,MFCS,CORE2021,A,4613,,token
Sampling and clustering on the POD-Grassmann manifold,2019,hal-02424383,CSE19 - SIAM Conference on Computational Science and Engineering,IEEE Conference on Automation Science and Engineering,,ERA2010,B, 913,18,score
"Introducing Weighted Intermediate Recombination in On-line Collective Robotics, the ($\mu$/$\mu$ W , 1)-On-line EEA",2019,hal-02185694,Applications of Evolutionary Computation,IEEE Congress on Evolutionary Computation,CEC,CORE2021,B,4602,12,score
The Zero Resource Speech Challenge 2019: TTS without T,2019,hal-02274112,Interspeech 2019 - 20th Annual Conference of the International Speech Communication Association,Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2014,A, 801,,token
The Zero Resource Speech Challenge 2019: TTS without T,2019,hal-02274112,Interspeech 2019 - 20th Annual Conference of the International Speech Communication Association,Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,CORE2021,A,4602,,token
Improving cable length measurements for large CDPR using the Vernier principle,2019,hal-02426400,CableCon 2019 - 4th International Conference on Cable-Driven Parallel Robots,1st International Conference on Engineering Management,ICEM,ERA2010,,   9,37,score
Improving cable length measurements for large CDPR using the Vernier principle,2019,hal-02426400,CableCon 2019 - 4th International Conference on Cable-Driven Parallel Robots,"IASTED International Conferenceon AI, Exp Sys & Neural Networks",AEN,CORE2014,C,,37,score
Improving cable length measurements for large CDPR using the Vernier principle,2019,hal-02426400,CableCon 2019 - 4th International Conference on Cable-Driven Parallel Robots,IEEE-RAS International Conference on Humanoid Robots,Humanoids,ERA2010,C, 902,37,score
Improving cable length measurements for large CDPR using the Vernier principle,2019,hal-02426400,CableCon 2019 - 4th International Conference on Cable-Driven Parallel Robots,IFIP International Conference on Network and Parallel Computing,NPC,CORE2021,C,4606,37,score
Improving cable length measurements for large CDPR using the Vernier principle,2019,hal-02426400,CableCon 2019 - 4th International Conference on Cable-Driven Parallel Robots,International Conference on Field and Service Robotics,FSR,CORE2018,A, 801,37,score
Efficient Metropolis-Hastings sampling for nonlinear mixed effects models,2018,hal-01958247,BAYSM 2018 - Bayesian Young Statisticians Meeting,AIAA Aerospace Sciences Meeting,,ERA2010,B, 901,31,score
Efficient Metropolis-Hastings sampling for nonlinear mixed effects models,2018,hal-01958247,BAYSM 2018 - Bayesian Young Statisticians Meeting,Australian MADYMO Users Meeting,MADYMO,CORE2018,Australasian, 801,31,score
Efficient Metropolis-Hastings sampling for nonlinear mixed effects models,2018,hal-01958247,BAYSM 2018 - Bayesian Young Statisticians Meeting,"SAE Powertrains, Fuels, and Lubricants Meeting",,ERA2010,B, 902,31,score
On Quantization in Discrete-Time Control Systems: Stability Analysis of Ternary Controllers,2020,hal-03092417,CDC 2020 - 59th IEEE Conference on Decision and Control,IEEE Conference on Decision and Control,CDC,CORE2018,A,1005,,token
MODALISA une plateforme int\'egrative pour capturer l'orchestration des gestes et de la parole,2019,hal-02375011,"D\'efi Instrumentation aux Limites, Colloque de restitution",ACM Information Technology Education,SIGITE,CORE2021,National USA,4608,36,score
MODALISA une plateforme int\'egrative pour capturer l'orchestration des gestes et de la parole,2019,hal-02375011,"D\'efi Instrumentation aux Limites, Colloque de restitution",IEEE International Test Conference,ITC,CORE2018,B,1005,36,score
MODALISA une plateforme int\'egrative pour capturer l'orchestration des gestes et de la parole,2019,hal-02375011,"D\'efi Instrumentation aux Limites, Colloque de restitution",International Symposium on Cavitation,,ERA2010,B, 915,36,score
MODALISA une plateforme int\'egrative pour capturer l'orchestration des gestes et de la parole,2019,hal-02375011,"D\'efi Instrumentation aux Limites, Colloque de restitution",Lexical Semantics and Knowledge Representation,SIGLEX,CORE2018,C, 804,36,score
Modern Applications of Game-Theoretic Principles,2020,hal-03091743,CONCUR 2020 - 31st International Conference on Concurrency Theory,International Conference on Concurrency Theory,CONCUR,CORE2021,A,4606,,token
Fast And Accurate Reconstruction Of Transmural Activation Maps From Standard 12-lead ECG Using An Eikonal Model,2019,hal-02428156,Heart Rhythm Meeting,AIChE Annual Meeting,,ERA2010,C,   9,11,score
Effect Of Pulmonary Vein Isolations And Reconnections On P-wave Morphology in Atrial Fibrillation Patients. A Simulation Study,2019,hal-02428158,Heart Rhythm 2019 - The Heart Rhythm Society's 40th Annual Heart Rhythm Scientific Sessions,,,,,,,
A Distributed Multi-Sensor Machine Learning Approach to Earthquake Early Warning,2020,hal-02373429,In Proceedings of the 34th AAAI Conference on Artificial Intelligence,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2021,A,4602,,token
Towards Non-Toxic Landscapes: Automatic Toxic Comment Detection Using DNN,2020,hal-02530879,"TRAC-2020, Second Workshop on Trolling, Aggression and Cyberbullying (LREC, 2020)",Language Resources and Evaluation Conference,LREC,CORE2021,C,4602,,token
Demo: In-flight Localisation of Micro-UAVs using Ultra-Wide Band,2020,hal-02421783,EWSN 2020 - International Conference on Embedded Wireless Systems and Networks,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,CORE2021,B,4606,,token
How to Combine Tree-Search Methods in Reinforcement Learning,2019,hal-02273713,AAAI 19 - Thirty-Third AAAI Conference on Artificial Intelligence,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2021,A,4602,,token
"TEI and the Mixtepec-Mixtec corpus: data integration, annotation and normalization of heterogeneous data for an under-resourced language",2019,hal-02075475,6th International Conference on Language Documentation and Conservation (ICLDC),International Conference on Advanced Communications and Computation,INFOCOMP,CORE2021,Unranked,  46,29,score
Les th\'ematiques d'interventions des psychologies praticiens et chercheurs dans le champ de la psychologie des transports et des mobilit\'es,2018,hal-02375249,Colloque Psychologie des transports et de la mobilit\'e,World Conference on Transport Research,WCTR,ERA2010,A,1205,36,score
Inference of the statistics of a modulated promoter process from population snapshot gene expression data,2020,hal-03085422,IFAC-V 2020 -  1st Virtual IFAC World Congress,International Federation of Automatic Control World Congress,IFAC,CORE2018,C,,,token
Time Domain Full Waveform Inversion involving Discontinuous Galerkin approximation,2019,hal-02422856,WAVES 2019 - 14th International Conference on Mathematical and Numerical Aspects of Wave Propagation,International Conference on Theoretical and Methodological Issues in machine Translation,TMI,CORE2018,B, 801,49,score
Scheduling independent stochastic tasks on heterogeneous cloud platforms,2019,hal-02271675,IEEE Cluster 2019 - International Conference on Cluster Computing,IEEE International Conference on Cluster Computing,CLUSTER,CORE2021,A,4606,,token
Large Memory Layers with Product Keys,2019,hal-02423249,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2021,A,4611,,token
Towards Causal Explanations of Property Violations in Discrete Event Systems,2019,hal-02369014,DX'19 - 30th International Workshop on Principles of Diagnosis,International Workshop on Principles of Diagnosis,DX,CORE2021,C,4612,,token
Probabilistic Collision Risk Estimation for Autonomous Driving: Validation via Statistical Model Checking,2020,hal-02696444,IV 2020 -- 31st IEEE Intelligent Vehicles Symposium,International Conference on Information Visualisation,IV,CORE2021,B,4608,,token
Selection of dynamical model using analog data assimilation,2020,hal-02927329,Climate Informatics 2020,Ambient Information Systems,AIS,ERA2010,B,1203,15,score
An Observer-based Longitudinal Control of Car-like Vehicles Platoon Navigating in an Urban Environment,2019,hal-02273504,CDC 2019 - 58th IEEE Conference on Decision and Control,IEEE Conference on Decision and Control,CDC,CORE2018,A,1005,,token
Combining Stochastic Optimization and Frontiers for Aerial Multi-Robot Exploration of 3D Terrains,2019,hal-02164806,IROS 2019 - IEEE/RSJ International Conference on Intelligent Robots and Systems,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,CORE2021,A,4602,,token
Longitudinal comparison of subjects with and without Sleep Disorders in Parkinson's Disease,2020,hal-02945917,VPH 2020 - Virtual Physiological Human,Euro Virtual Reality,Euro VR,CORE2021,C,4607,26,score
Wave: A New Family of Trapdoor One-Way Preimage Sampleable Functions Based on Codes,2019,hal-02424057,ASIACRYPT 2019 - 25th International Conference on the Theory and Application of Cryptology and Information Security,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2021,A,4604,,token
Combinatorial Tiling for Sparse Neural Networks,2020,hal-02910997,2020 IEEE High Performance Extreme Computing (virtual conference),Asian International Mobile Computing Conference,AMOC,CORE2018,C, 805,35,score
Combinatorial Tiling for Sparse Neural Networks,2020,hal-02910997,2020 IEEE High Performance Extreme Computing (virtual conference),IEEE Global Telecommunications Conference,GLOBECOM,CORE2021,B,4606,35,score
Combinatorial Tiling for Sparse Neural Networks,2020,hal-02910997,2020 IEEE High Performance Extreme Computing (virtual conference),IEEE Global Telecommunications Conference,IEEE GLOBECOM,ERA2010,B,1006,35,score
Boosting Tricks for Word Mover's Distance,2020,hal-03088924,ICANN 2020 - 29th International Conference on Artificial Neural Networks,International Conference on Artificial Neural Networks,ICANN,CORE2021,C,4611,,token
Universal Forgery Attack against GCM-RUP,2020,hal-02424899,CT-RSA 2020 - The Cryptographers' Track at the RSA Conference 2020,Computational Topology Workshop,CT,CORE2018,C, 802,,token
Best of both worlds: Stochastic \& adversarial best-arm identification,2018,hal-01808948,Conference on Learning Theory,Conference on Learning Theory,COLT,CORE2021,A,4611,0,score
Closed-loop control of soft robot based on machine learning,2019,hal-02406854,CCC 2019 - 38th Chinese Control Conference,IEEE Conference on Computational Complexity,CCC,CORE2021,A,4613,,token
DISPERS: Securing Highly Distributed Queries on Personal Data Management Systems,2019,hal-02269201,"BDA 2019 - 35\`eme Conf\'erence sur la Gestion de Donn\'ees - Principes, Technologies et Applications",,,,,,,
Trustworthy Distributed Computations on Personal Data Using Trusted Execution Environments,2019,hal-02269207,"TrustCom 2019 - The 18th IEEE International Conference on Trust, Security and Privacy in Computing and Communications / BigDataSE 2019 - 13th IEEE International Conference on Big Data Science and Engineering","International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,CORE2021,B,4604,,token
Monocular 3D reconstruction for image-based velocity estimation,2020,hal-03081977,Proceedings of the 10th Conference on Fluvial Hydraulics,International Conference on Fluid Mechanics,,ERA2010,B, 913,29,score
Probabilistic Reconstruction Networks for 3D Shape Inference from a Single Image,2019,hal-02268466,BMVC 2019 - British Machine Vision Conference,British Machine Vision Conference,BMVC,ERA2010,B, 801,,token
Sharing Ghost Variables in a Collection of Abstract Domains,2020,hal-02378809,"VMCAI 2020 - 21st International Conference on Verification, Model Checking, and Abstract Interpretation","Verification, Model Checking and Abstract Interpretation",VMCAI,CORE2021,B,4612,,token
Using Grammar-Based Genetic Programming for Mining Disjointness Axioms Involving Complex Class Expressions,2020,hal-02936193,ICCS 2020 - 25th International Conference on Conceptual Structures,International Conference on Computational Science,ICCS,CORE2021,A,4601,,token
Using Grammar-Based Genetic Programming for Mining Disjointness Axioms Involving Complex Class Expressions,2020,hal-02936193,ICCS 2020 - 25th International Conference on Conceptual Structures,International Conference on Conceptual Structures,ICCS,CORE2021,B,4613,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2021,B,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2021,B,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2021,B,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2021,B,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2021,B,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,CORE2021,B,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,4606,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,4601,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,4601,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,4601,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,4601,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,4601,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",ACM Symposium on Applied Computing,SAC,CORE2021,Multiconference,4601,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Selected Areas in Cryptography,SAC,CORE2021,B,4604,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Selected Areas in Cryptography,SAC,CORE2021,B,4604,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Selected Areas in Cryptography,SAC,CORE2021,B,4604,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Selected Areas in Cryptography,SAC,CORE2021,B,4604,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Selected Areas in Cryptography,SAC,CORE2021,B,4604,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",Selected Areas in Cryptography,SAC,CORE2021,B,4604,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",European Symposium on Algorithms,ESA,CORE2021,A,4613,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",European Symposium on Algorithms,ESA,CORE2021,A,4613,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",European Symposium on Algorithms,ESA,CORE2021,A,4613,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",European Symposium on Algorithms,ESA,CORE2021,A,4613,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",European Symposium on Algorithms,ESA,CORE2021,A,4613,,token
Unicast Inference of Additive Metrics in General Network Topologies,2019,,"MASCOTS 2019 - 27th IEEE International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",European Symposium on Algorithms,ESA,CORE2021,A,4613,,token
ACTA: A Tool for Argumentative Clinical Trial Analysis,2019,hal-02275997,IJCAI 2019 - Twenty-Eighth International Joint Conference on Artificial Intelligence,International Joint Conference on Artificial Intelligence,IJCAI,CORE2021,A,4602,,token
Estabiliza\c c\~ao quadr\'atica por realimenta\c c\~ao de sa\'ida de sistemas Lur'e a tempo cont\'inuo via LMIs,2020,hal-03151866,Congresso Brasileiro de Autom\'atica - 2020,Congress of the Italian Assoc for AI,AIIA,ERA2010,B, 801,27,score
On the Versatility of Open Logical Relations,2020,hal-02991652,ESOP 2020 - 29th European Symposium on Programming. Held as Part of the ETAPS 2020 - European Joint Conferences on Theory and Practice of Software,European Symposium on Programming,ESOP,CORE2021,A,4612,,token
Reconstructing veriT Proofs in Isabelle/HOL,2019,hal-02276530,PxTP 2019 - Sixth Workshop on Proof eXchange for Theorem Proving,International Workshops on First-Order Theorem Proving,FTP,CORE2018,B, 802,31,score
NUTS: Network Updates in Real Time Systems,2019,hal-02427489,ACM SOSR 2019 - Symposium on SDN Research,International Symposium on Robotics Research,ISRR,CORE2021,A,4602,22,score
"Mon \'ecoulement est turbulent, c'est grave docteur ? Les enjeux de la simulation num\'erique en m\'ecanique des fluides",2020,hal-02989550,"Unith\'eoucaf\'e, webconf\'erence Inria, France",International Conference on Urban Drainage,,ERA2010,A, 905,27,score
Time-domain simulation of a dissipative reed instrument,2020,hal-03132474,e-Forum Acusticum 2020,ACM Multimedia,ACMMM,CORE2021,A,4603,16,score
Data Visualization on Mobile Devices,2018,hal-03151899,Extended Abstracts of the Conference on Human Factors in Computing System (CHI),International Conference on Human Factors in Computing Systems,CHI,CORE2021,A,4608,,token
Introduction to DICOM-RTV: a new standard for real-time video communication in hospitals,2019,hal-02431873,"Healthcom 2019 - IEEE International Conference on E-health Networking, Application \& Services",IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,CORE2021,C,4601,,token
Order-Invariant First-Order Logic over Hollow Trees,2020,hal-02310749,CSL 2020 - 28th annual conference of the European Association for Computer Science Logic,Annual Conference on Computer Science Logic,CSL,CORE2021,B,4613,,token
Eikonal Model Personalisation using Invasive Data to Predict Cardiac Resynchronisation Therapy Electrophysiological Response,2019,hal-02368288,STACOM 2019 - 10th Workshop on Statistical Atlases and Computational Modelling of the Heart,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2020,Australasian B,4602,49,score
Empirical SURE-guided microscopy super-resolution image reconstruction from confocal multi-array detectors,2020,hal-03087023,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing","IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2018,B,,,token
Dynamic DASH Aware Scheduling in Cellular Networks,2019,hal-02418538,WCNC 2019 - IEEE Wireless Communications and Networking Conference,IEEE Wireless Communications and Networking Conference,WCNC,CORE2021,B,4606,,token
An Unsupervised Retinal Vessel Extraction and Segmentation Method Based On a Tube Marked Point Process Model,2020,hal-02981811,"ICASSP 2020 - IEEE International Conference on Acoustics, Speech and Signal Processing","IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2018,B,,,token
Controllability pre-verification of silicone soft robots based on finite-element method,2019,hal-02403899,ICRA 2019 - International Conference on Robotics and Automation,IEEE International Conference on Robotics and Automation,ICRA,CORE2021,B needs review,4602,,token
Numerical Pattern Mining Through Compression,2019,hal-02162927,DCC 2019 - 2019 Data Compression Conference,Data Compression Conference,DCC,CORE2021,B,4605,,token
Numerical Pattern Mining Through Compression,2019,hal-02162927,DCC 2019 - 2019 Data Compression Conference,Design Computing and Cognition,DCC,ERA2010,A,1201,,token
Generative adversarial networks as a novel approach for tectonic fault and fracture extraction in high resolution satellite and airborne optical images,2020,hal-02982510,ISPRS 2020 - XXIV International Society of Photogrammetry and Remote Sensing Congress,IEEE International Geoscience and Remote Sensing Symposium,IGARSS,CORE2021,C,4601,46,score
Seismic reconstruction using FWI with reciprocity misfit functional and dual-sensors data,2019,hal-02184215,Applied Inverse Problems Conference,Applied Computing Conference,ACC,CORE2021,C,4601,15,score
Design and Evaluation of Interaction Techniques Dedicated to Integrate Encountered-Type Haptic Displays in Virtual Environments,2020,hal-03097336,VR 2020 - IEEE Conference on Virtual Reality and 3D User Interfaces,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2021,A,4607,,token
Usefulness of Bayesian modeling in risk analysis and prevention of Home Leisure and Sport Injuries (HLIs),2018,hal-01964484,III Jornadas Cient\'ificas de Estudiantes de la Sociedad Espa\~nola de Biometr\'ia,,,,,,,
FES-Based Control of Knee Joint to Reduce Stance Phase Asymmetry in Post-stroke Gait: Feasibility Study,2018,lirmm-01900030,ICNR: International Conference on NeuroRehabilitation,International Conference on Virtual Rehabilitation,ICVR,CORE2021,Unranked,4601,12,score
Reducing Global Schedulers' Complexity Through Runtime System Decoupling,2018,hal-01873526,WSCAD 2018 - XIX Simp\'osio de Sistemas Computacionais de Alto Desempenho,International Symposium on Computational Geometry,SoCG,CORE2021,A,4613,47,score
Reducing Global Schedulers' Complexity Through Runtime System Decoupling,2018,hal-01873526,WSCAD 2018 - XIX Simp\'osio de Sistemas Computacionais de Alto Desempenho,International Symposium on Computational Life Science,CompLife,CORE2018,B, 801,47,score
Reducing Global Schedulers' Complexity Through Runtime System Decoupling,2018,hal-01873526,WSCAD 2018 - XIX Simp\'osio de Sistemas Computacionais de Alto Desempenho,Japan Conference on Discrete and Computational Geometry,JCDCG,ERA2010,C, 802,47,score
"Process Affinity, Metrics and Impact on Performance: an Empirical Study",2018,hal-01901988,"18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (IEEE/ACM CCGrid)","IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,CORE2021,A,4606,27,score
Pre-­-neurosurgical detection of cerebral motor areas by functional MRI: Comparison between Blood Oxygenation Level (BOLD) and functional Arterial Spin Labeling (fASL) techniques,2018,inserm-01963573,SFNR 2018 - 45\`eme Congr\`es de la Soci\'et\'e Fran\c caise de Neuroradiologie,,,,,,,
Mining on Manifolds: Metric Learning without Labels,2018,hal-01843085,CVPR 2018 - IEEE Computer Vision and Pattern Recognition Conference,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2021,A,4603,,token
